t_s,phase,x_m,h_m,V_mps,gamma_rad,m_kg,Mach,alpha_deg,phi,q_Pa,CL,CD,L_N,D_N,T_N,mdot_fuel_kgs,M4,Tt4_K,unstart_flag
66.0,cruise,94131.33611490902,19406.240988841375,1426.7022197332733,-0.008115364422541621,801.358138378423,4.8350964867480055,27.654636890244927,0.0,98379.48276518799,0.7004866158179424,0.07837649041256481,6891.351094810613,771.0638587738842,0.0,0.0,0.0,0.0,0.0
67.0,cruise,95557.54715568367,19394.253370490536,1425.8214179442743,-0.00869394902008645,801.358138378423,4.832111447840373,27.773235104719554,0.0,98443.97472617401,0.7036564940790294,0.07891956105562982,6927.074211902419,776.9155273961169,0.0,0.0,0.0,0.0,0.0
68.0,cruise,96982.86955259251,19381.470513285924,1426.2308398941493,-0.008763949748275202,801.2471349043537,4.83349897959301,27.82248269438629,0.0,98699.28204013506,0.7048270108773996,0.07911323689270537,6956.591993609382,780.8419681181147,0.0,0.0,0.0,0.0,0.0
69.0,cruise,98408.59840911612,19368.603423459608,1425.3436688848312,-0.009284517465010904,801.2471349043537,4.830492355385823,27.94323348934294,0.0,98776.75931699501,0.7080540206169386,0.07966938246725998,6993.928157790997,786.9483416902161,0.0,0.0,0.0,0.0,0.0
70.0,cruise,99834.72937112654,19355.709263163462,1428.3310882924852,-0.008316547570448345,800.9130817355082,4.8406167253367505,27.846281333586745,0.0,99393.15301834724,0.705033496351951,0.07912681754138054,7007.550218596983,786.4663883745278,0.0,0.0,0.0,0.0,0.0
71.0,cruise,101262.55835403295,19343.496505870993,1427.4319424618332,-0.008789005116208127,800.9130817355082,4.837569518437702,27.96205212839445,0.0,99459.42455484922,0.7081350823952317,0.07966192683495509,7043.070780213049,792.3129401935134,0.0,0.0,0.0,0.0,0.0
72.0,cruise,102689.48108276135,19330.639197572153,1426.529899142717,-0.009230644579715296,800.9130817355082,4.834512491944838,28.079868099090774,0.0,99535.37382625847,0.7112904372737417,0.08020855286301397,7079.855957308474,798.358829328331,0.0,0.0,0.0,0.0,0.0
73.0,cruise,104115.49451667795,19317.18294597228,1425.6244065144879,-0.009640343901165385,800.9130817355082,4.831443775736949,28.19947243164963,0.0,99620.22843757906,0.7144932039898185,0.08076573329850553,7117.79761985635,804.5900801125707,0.0,0.0,0.0,0.0,0.0
74.0,cruise,105541.90049248822,19303.869739886923,1428.6157550575258,-0.008536604505208729,800.576327426583,4.841581461535029,28.099836462835803,0.0,100248.97902154135,0.7113989816179894,0.08020587694104842,7131.702158416771,804.0557274867491,0.0,0.0,0.0,0.0,0.0
75.0,cruise,106970.00180189985,19291.41984353623,1427.6958044614207,-0.008897714751315134,800.576327426583,4.838463747247012,28.212692549871186,0.0,100316.67423283843,0.7144320590159364,0.08073418879222902,7166.94481257977,809.8985316522513,0.0,0.0,0.0,0.0,0.0
76.0,cruise,108397.17685594263,19278.48435965741,1426.7718858838675,-0.009228267939317046,800.576327426583,4.8353325854624565,28.326849722622697,0.0,100391.46084195771,0.7175002612772031,0.0812707972355552,7203.089938410477,815.8894058267927,0.0,0.0,0.0,0.0,0.0
