x_m,wall_upper_m,wall_lower_m,height_m,area_m2
9.896774193548386889e-02,4.018465935255727955e-02,-4.018465935255727955e-02,8.036931870511455911e-02,2.009232967627863978e-02
1.006451612903225823e-01,4.079919217776307311e-02,-4.079919217776307311e-02,8.159838435552614622e-02,2.039959608888153655e-02
1.023225806451612957e-01,4.141307523308498939e-02,-4.141307523308498939e-02,8.282615046616997878e-02,2.070653761654249470e-02
1.040000000000000091e-01,4.202621816402618560e-02,-4.202621816402618560e-02,8.405243632805237119e-02,2.101310908201309280e-02
1.056774193548387086e-01,4.263853245780782619e-02,-4.263853245780782619e-02,8.527706491561565239e-02,2.131926622890391310e-02
1.073548387096774220e-01,4.324993142554150322e-02,-4.324993142554150322e-02,8.649986285108300643e-02,2.162496571277075161e-02
1.090322580645161354e-01,4.386033018449625454e-02,-4.386033018449625454e-02,8.772066036899250907e-02,2.193016509224812727e-02
1.107096774193548350e-01,4.446964564046044371e-02,-4.446964564046044371e-02,8.893929128092088743e-02,2.223482282023022186e-02
1.123870967741935484e-01,4.507779647019826558e-02,-4.507779647019826558e-02,9.015559294039653115e-02,2.253889823509913279e-02
1.140645161290322618e-01,4.568470310400117584e-02,-4.568470310400117584e-02,9.136940620800235169e-02,2.284235155200058792e-02
1.157419354838709752e-01,4.629028770833376605e-02,-4.629028770833376605e-02,9.258057541666753210e-02,2.314514385416688302e-02
1.174193548387096747e-01,4.689447416857484702e-02,-4.689447416857484702e-02,9.378894833714969403e-02,2.344723708428742351e-02
1.190967741935483881e-01,4.749718807185283193e-02,-4.749718807185283193e-02,9.499437614370566385e-02,2.374859403592641596e-02
1.207741935483871015e-01,4.809835668997619607e-02,-4.809835668997619607e-02,9.619671337995239213e-02,2.404917834498809803e-02
1.224516129032258011e-01,4.869790896245843048e-02,-4.869790896245843048e-02,9.739581792491686096e-02,2.434895448122921524e-02
1.241290322580645145e-01,4.929577547963791967e-02,-4.929577547963791967e-02,9.859155095927583934e-02,2.464788773981895983e-02
1.258064516129032417e-01,4.989188846589262538e-02,-4.989188846589262538e-02,9.978377693178525076e-02,2.494594423294631269e-02
1.274838709677419413e-01,5.048618176294928511e-02,-5.048618176294928511e-02,1.009723635258985702e-01,2.524309088147464256e-02
1.291612903225806408e-01,5.107859081328748607e-02,-5.107859081328748607e-02,1.021571816265749721e-01,2.553929540664374304e-02
1.308387096774193403e-01,5.166905264363865630e-02,-5.166905264363865630e-02,1.033381052872773126e-01,2.583452632181932815e-02
1.325161290322580676e-01,5.225750584857937614e-02,-5.225750584857937614e-02,1.045150116971587523e-01,2.612875292428968807e-02
1.341935483870967671e-01,5.284389057422008568e-02,-5.284389057422008568e-02,1.056877811484401714e-01,2.642194528711004284e-02
1.358709677419354944e-01,5.342814850198780025e-02,-5.342814850198780025e-02,1.068562970039756005e-01,2.671407425099390012e-02
1.375483870967741939e-01,5.401022283250422190e-02,-5.401022283250422190e-02,1.080204456650084438e-01,2.700511141625211095e-02
1.392258064516129212e-01,5.459005826955810187e-02,-5.459005826955810187e-02,1.091801165391162037e-01,2.729502913477905093e-02
1.409032258064516208e-01,5.516760100417280460e-02,-5.516760100417280460e-02,1.103352020083456092e-01,2.758380050208640230e-02
1.425806451612903203e-01,5.574279869876818533e-02,-5.574279869876818533e-02,1.114855973975363707e-01,2.787139934938409266e-02
1.442580645161290198e-01,5.631560047141755815e-02,-5.631560047141755815e-02,1.126312009428351163e-01,2.815780023570877907e-02
1.459354838709677471e-01,5.688595688019933844e-02,-5.688595688019933844e-02,1.137719137603986769e-01,2.844297844009966922e-02
1.476129032258064466e-01,5.745381990764311664e-02,-5.745381990764311664e-02,1.149076398152862333e-01,2.872690995382155832e-02
1.492903225806451739e-01,5.801914294527112798e-02,-5.801914294527112798e-02,1.160382858905422560e-01,2.900957147263556399e-02
1.509677419354838734e-01,5.858188077823370254e-02,-5.858188077823370254e-02,1.171637615564674051e-01,2.929094038911685127e-02
1.526451612903225730e-01,5.914198957004025009e-02,-5.914198957004025009e-02,1.182839791400805002e-01,2.957099478502012505e-02
1.543225806451612725e-01,5.969942684738422517e-02,-5.969942684738422517e-02,1.193988536947684503e-01,2.984971342369211258e-02
1.559999999999999998e-01,6.025415148506359925e-02,-6.025415148506359925e-02,1.205083029701271985e-01,3.012707574253179962e-02
1.576774193548387271e-01,6.080612369099529929e-02,-6.080612369099529929e-02,1.216122473819905986e-01,3.040306184549764965e-02
1.593548387096774266e-01,6.135530499132522270e-02,-6.135530499132522270e-02,1.227106099826504454e-01,3.067765249566261135e-02
1.610322580645161539e-01,6.190165821563216320e-02,-6.190165821563216320e-02,1.238033164312643264e-01,3.095082910781608160e-02
1.627096774193548534e-01,6.244514748222733391e-02,-6.244514748222733391e-02,1.248902949644546678e-01,3.122257374111366696e-02
1.643870967741935529e-01,6.298573818354785692e-02,-6.298573818354785692e-02,1.259714763670957138e-01,3.149286909177392846e-02
1.660645161290322525e-01,6.352339697164557930e-02,-6.352339697164557930e-02,1.270467939432911586e-01,3.176169848582278965e-02
1.677419354838709797e-01,6.405809174377029291e-02,-6.405809174377029291e-02,1.281161834875405858e-01,3.202904587188514646e-02
1.694193548387096793e-01,6.458979162804801000e-02,-6.458979162804801000e-02,1.291795832560960200e-01,3.229489581402400500e-02
1.710967741935484066e-01,6.511846696925362166e-02,-6.511846696925362166e-02,1.302369339385072433e-01,3.255923348462681083e-02
1.727741935483871061e-01,6.564408931467853592e-02,-6.564408931467853592e-02,1.312881786293570718e-01,3.282204465733926796e-02
1.744516129032258334e-01,6.616663140009318433e-02,-6.616663140009318433e-02,1.323332628001863687e-01,3.308331570004659217e-02
